iata_code,name
PFN, Panama City–Bay County International Airport
OCA,Ocean Reef Club Airport
PQS,Pilot Station Airport
CSE,Crested Butte Airpark
JCY,LBJ Ranch Airport
PMX,Metropolitan Airport
WLR,Loring Seaplane Base
NUP,Nunapitchuk Airport
PTC,Port Alice Seaplane Base
ICY,Icy Bay Airport
PPV,Port Protection Seaplane Base
KKK,Kalakaket Creek AS Airport
MHS,Dunsmuir Muni-Mott Airport
NIR,Chase Field Industrial Airport
GCT,Grand Canyon Bar Ten Airstrip
ELW,Ellamar Seaplane Base
LVD,Lime Village Airport
HGZ,Hog River Airport
OTN,Ed-Air Airport
TLF,Telida Airport
BZT,Eagle Air Park
HBH,Entrance Island Seaplane Base
FAK,False Island Seaplane Base
BYW,Blakely Island Airport
DRF,Drift River Airport
BDF,Rinkenberger Restricted Landing Area
VRS,Roy Otten Memorial Airfield
GDH,Golden Horn Lodge Seaplane Base
ATT,Atmautluak Airport
LIV,Livengood Camp Airport
PDB,Pedro Bay Airport
KOZ,Ouzinkie Airport
TNK,Tununak Airport
EVA,Ben Bruce Memorial Airpark
WHD,Hyder Seaplane Base
MNT,Minto Al Wright Airport
TKI,Tokeen Seaplane Base
WKK,Aleknagik / New Airport
WFB,Ketchikan Harbor Seaplane Base
NNK,Naknek Airport
BKF,Lake Brooks Seaplane Base
BCS,Southern Seaplane Airport
SPQ,Catalina Air-Sea Terminal Heliport
TSS,East 34th Street Heliport
QNY,New York Skyports Inc Seaplane Base
BWL,Earl Henry Airport
WYB,Yes Bay Lodge Seaplane Base
CWS,Center Island Airport
TEK,Tatitlek Airport
DUF,Pine Island Airport
SSW,Stuart Island Airpark
FOB,Fort Bragg Airport
PUL,Port of Poulsbo Marina Moorage Seaplane Base
CCD,Century City Heliport
WMK,Meyers Chuck Seaplane Base
AXB,Maxson Airfield
REE,Reese Airpark
WDN,Waldron Airstrip
WWP,Whale Pass Seaplane Float Harbor Facility
CHU,Chuathbaluk Airport
UGS,Ugashik Airport
MXG,Marlboro Airport
PSQ,Philadelphia Seaplane Base
KLL,Levelock Airport
SGW,Saginaw Seaplane Base
WTL,Tuntutuliak Airport
TWA,Twin Hills Airport
KCQ,Chignik Lake Airport
AHT,Amchitka Air Force Base
CEX,Chena Hot Springs Airport
SOL,Solomon State Field
HED,Herendeen Bay Airport
TWE,Taylor Airport
KTH,Tikchik Lodge Seaplane Base
NKI,Naukati Bay Seaplane Base
LNI,Point Lonely Short Range Radar Site Airfield
CDL,Candle 2 Airport
AOS,Amook Bay Seaplane Base
BSW,Boswell Bay Airport
TGE,Sharpe Field
ALZ,Alitak Seaplane Base
AQY,Girdwood Airport
ARX,Asbury Park Neptune Air Terminal
AYZ,Zahn's Airport
HAE,Lava Falls Heliport
BKG,Branson Airport
BCJ,Baca Grande Airfield
ILL,Willmar Municipal -John L Rice Field
BNF,Baranof Warm Springs Float and Seaplane Base
BOF,Bolling Air Force Base
BOK,Brookings Airport
BQV,Bartlett Cove Seaplane Base
BRG,Whitesburg Municipal Airport
BYA,Boundary Airport
BZS,Buzzards Point Seaplane Base
CGA,Craig Seaplane Base
CHP,Circle Hot Springs Airport
CIV,Chomley Seaplane Base
CKD,Crooked Creek Airport
CKR,Crane Island Airstrip
CKU,Cordova Municipal Airport
CKX,Chicken Airport
CLC,Clear Lake Metroport
CLG,Coalinga Airport (1936)
EHT,Rentschler Heliport
HLI,Hollister Municipal Airport
CVR,Hughes Airport
CXC,Chitina Airport
CYM,Chatham Seaplane Base
CZK,Cascade Locks State Airport
CZN,Chisana Airport
CZO,Chistochina Airport
IUA,Canandaigua Airport
DJN,Delta Junction Airport
DCK,Dahl Creek Airport
DCR,Decatur HI-Way Airfield
DHB,Deer Harbor SPB
DPK,Deer Park Airport
